City,ID,hotel_name,star,price_VND,discount_VND,distance_km,rating,rt_count,year,month,day
DNG,12261673,Red Diamond Hotel DN - by BAY LUXURY,2,  468.000 ,,"  1,40 ",10,1,2025,3,14
DNG,2263014,DaNa Sailing Hotel,2,  356.400 ,  110.000 ,"  2,70 ","9,2",36,2025,3,14
DNG,5707914,Thanh Lan Riverside Hotel Da Nang,2,  302.670 ,  57.000 ,"  1,90 ","8,6",138,2025,3,14
DNG,4432648,CODI SEA Hotel & Travel,2,  349.999 ,  38.889 ,"  2,60 ","8,5",182,2025,3,14
DNG,11440047,Phu My Hai Hotel,2,  489.600 ,  950.400 ,"  1,90 ","8,6",10,2025,3,14
DNG,1257006,Night Sky Hotel,2,  504.900 ,,"  2,30 ","8,6",14,2025,3,14
DNG,6187591,Euro Star Riverside Hotel,2,  551.475 ,  61.275 ,"  1,90 ","8,7",233,2025,3,14
DNG,11361658,Jim’s House,2,  813.450 ,  121.550 ,"  0,90 ","8,8",54,2025,3,14
DNG,573422,D&C Hotel,2,  398.520 ,  73.800 ,"  1,40 ","8,6",550,2025,3,14
DNG,4381290,Phuc Long Hotel,2,  225.000 ,,"  2,70 ",8,196,2025,3,14
DNG,1655702,Kingdom Danang Hotel,2,  248.132 ,  76.670 ,"  2,60 ","8,3",286,2025,3,14
DNG,13420643,BLUE LUXURY Hotel,2,  288.000 ,  72.000 ,"  2,00 ",8,1,2025,3,14
DNG,1319310,Dam Tien Hotel,2,  288.849 ,  102.765 ,"  2,50 ","8,1",257,2025,3,14
DNG,3450044,Thành Nhân Hotel,2,  360.000 ,  40.000 ,"  1,40 ","8,3",36,2025,3,14
DNG,2688108,Bamboo Hotel,2,  400.000 ,,"  2,00 ","8,1",130,2025,3,14
DNG,7010719,The Garden Capsule Hotel,2,  506.496 ,  100.911 ,"  0,60 ","8,1",309,2025,3,14
DNG,737227,Red Diamond Hotel,2,  540.000 ,  60.000 ,"  1,50 ",8,14,2025,3,14
DNG,307527,Dai A Hotel,2,  541.200 ,  98.400 ,"  0,45 ",8,93,2025,3,14
DNG,781568,Dai Long Hotel,2,  512.359 ,  56.929 ,"  3,00 ","8,3",33,2025,3,14
DNG,12362278,OYO 1246 Nha Khach Cuc Hau Can,2,  709.825 ,  738.797 ,"  2,10 ",8,1,2025,3,14
DNG,905131,Misa Hotel Da Nang,2,  346.500 ,  70.000 ,"  2,70 ","7,3",66,2025,3,14
DNG,322073,Song Thu hotel,2,  355.110 ,  43.890 ,"  0,80 ",7,28,2025,3,14
DNG,2109129,Rich Hotel,2,  423.889 ,  78.498 ,"  2,70 ","7,1",168,2025,3,14
DNG,11522525,Golden House Hotel,2,  649.500 ,  649.500 ,"  2,50 ","6,5",37,2025,3,14
DNG,435032,Kay Hotel Da Nang,3,  270.000 ,  68.182 ,"  1,10 ",10,1,2025,3,14
DNG,13109581,MORRI Homestay,3,  479.000 ,,"  2,70 ",10,6,2025,3,14
DNG,12670847,Golden Sea Hotel,3,  1.500.000 ,  1.500.000 ,"  1,90 ",10,1,2025,3,14
DNG,13293118,Doha Hotel and Apartment near Danang Airport,3,  555.750 ,  299.250 ,"  1,10 ","9,6",11,2025,3,14
DNG,12199416,MiAn Hotel Danang - Infinity Pool,3,  576.220 ,  142.276 ,"  2,20 ","9,7",54,2025,3,14
DNG,8655607,LH APARTMENT DA NANG,3,  670.000 ,,"  2,60 ","9,7",33,2025,3,14
DNG,12745810,Vernal building Da Nang,3,  902.000 ,  1.298.000 ,"  0,20 ","9,9",8,2025,3,14
DNG,1453399,Le House Boutique Hotel,3,  305.550 ,  373.450 ,"  2,70 ",9,1908,2025,3,14
DNG,8823471,FSTAY - COZY AND PEACEFUL HOMESTAY DA NANG,3,  360.000 ,  540.000 ,"  1,30 ","9,2",95,2025,3,14
DNG,13482744,Rice's House Boutique Hotel,3,  383.600 ,  164.400 ,"  2,60 ",9,7,2025,3,14
DNG,5493032,Tam Homestay,3,  378.552 ,  42.061 ,"  0,80 ",9,114,2025,3,14
DNG,11740497,Lupin Boutique Hotel Danang,3,  446.400 ,  160.000 ,"  2,10 ","9,2",133,2025,3,14
DNG,6222829,AHA Thang Bom Apartment Da Nang,3,  480.000 ,  106.667 ,"  1,20 ","9,2",299,2025,3,14
DNG,11314456,Le's Apartment & Coffee,3,  490.000 ,  490.000 ,"  1,50 ","9,2",30,2025,3,14
DNG,1733500,Mai Boutique Villa,3,  702.000 ,  78.000 ,"  2,50 ",9,189,2025,3,14
DNG,8048636,Bare Han - Bare Boutique Stays,3,  830.250 ,  123.000 ,"  0,60 ","9,1",171,2025,3,14
DNG,5743942,Kaia Residence Danang Quiet Garden,3,  1.102.500 ,  175.000 ,"  1,10 ","9,3",38,2025,3,14
DNG,5638850,Hadiva Boutique Hotel,3,  1.147.500 ,,"  0,50 ","9,4",43,2025,3,14
DNG,547905,Hoang Sa Hotel,3,  283.500 ,  63.000 ,"  2,10 ","8,5",24,2025,3,14
DNG,13346773,Kamala Hotel & Apartment Da Nang,3,  299.201 ,  48.889 ,"  2,70 ","8,6",24,2025,3,14
DNG,8383746,Continent Apartment,3,  403.200 ,  320.000 ,"  2,00 ","8,7",128,2025,3,14
DNG,1103332,Nhat Linh Hotel & Suites Da Nang,3,  484.785 ,  76.950 ,"  0,50 ","8,7",815,2025,3,14
DNG,593996,Happy Day Riverside Hotel & Spa Danang by Haviland,3,  707.940 ,  131.100 ,"  0,60 ","8,9",342,2025,3,14
DNG,5807146,Maple Suite Hotel & Apartment,3,  721.710 ,  80.190 ,"  2,70 ","8,8",140,2025,3,14
DNG,4276203,AVORA Boutique Hotel,3,  771.429 ,  330.612 ,"  0,50 ","8,8",404,2025,3,14
DNG,3277002,Merry Hotel,3,  815.265 ,  148.500 ,"  1,20 ","8,5",304,2025,3,14
DNG,5683385,Bridges Danang Boutique Hotel,3,  1.134.000 ,  126.000 ,"  2,70 ","8,7",63,2025,3,14
DNG,12710876,Platinum Orchid Hotel Danang,3,  1.350.000 ,  150.000 ,"  1,80 ","8,5",30,2025,3,14
DNG,2325640,Grand Ngoc Bich hotel,3,  270.000 ,  60.000 ,"  2,60 ",8,1509,2025,3,14
DNG,1172234,Tay Bac Hotel Da Nang,3,  341.649 ,  130.900 ,"  2,70 ","8,2",99,2025,3,14
DNG,402041,Quoc Cuong Center Da Nang Hotel by Haviland,3,  385.400 ,  434.600 ,"  1,30 ","8,4",835,2025,3,14
DNG,408551,Tarasa Hotel,3,  406.000 ,  994.000 ,"  1,00 ",8,21,2025,3,14
DNG,11930347,Ocean Hotel,4,  528.000 ,  144.000 ,"  2,60 ",10,5,2025,3,14
DNG,8936241,Two-Bedrooms - POOL SEA VIEW - 6A - BLUE SEA APARTMENT,4,  1.100.000 ,,"  2,50 ",10,1,2025,3,14
DNG,11151056,Luxury Apartment Ocean View Free Pool,4,  3.540.000 ,  2.360.000 ,"  3,00 ",10,2,2025,3,14
DNG,10155194,Luxury Altara Apartment in My Khe Area,4,  3.640.000 ,,"  3,00 ",10,2,2025,3,14
DNG,12997044,The BackPacker Hotel,4,  432.000 ,  80.000 ,"  2,90 ","9,8",42,2025,3,14
DNG,9665234,BaPhu Apartment - 5BR - 5 mins walk to My Khe beach,4,  508.356 ,  1.374.444 ,"  2,80 ","9,6",23,2025,3,14
DNG,8465017,SHI HOUSE by Haviland,4,  841.320 ,  155.800 ,"  2,00 ","9,5",333,2025,3,14
DNG,10404603,May Home Apartment Da Nang,4,  1.111.500 ,  123.500 ,"  2,40 ","9,6",17,2025,3,14
DNG,2604345,Monarque Hotel Danang,4,  1.583.640 ,  1.935.560 ,"  2,80 ","9,5",429,2025,3,14
DNG,10838410,Alacarte Luxury Ocean View Condotel,4,  1.676.700 ,  186.300 ,"  2,70 ","9,5",15,2025,3,14
DNG,12103877,Luxurious Ocean View Suites in AAltara Suites Building,4,  2.187.000 ,  243.000 ,"  3,00 ","9,5",17,2025,3,14
DNG,13649504,ORANGE Hotel - Danang City Center,4,  269.100 ,  29.900 ,"  0,35 ","9,4",9,2025,3,14
DNG,10422182,La Belle Vie Boutique Hotel,4,  495.000 ,  275.000 ,"  2,10 ",9,419,2025,3,14
DNG,6742394,Duc Hanh Apartment,4,  540.000 ,,"  2,90 ","9,3",50,2025,3,14
DNG,398587,Star Hotel and Spa Danang,4,  570.000 ,  930.000 ,"  2,60 ",9,1103,2025,3,14
DNG,12183430,Elites Hotel,4,  585.000 ,  130.000 ,"  2,60 ",9,490,2025,3,14
DNG,10991709,Dana Boutique Hotel & Apartment,4,  648.000 ,  2.052.000 ,"  2,20 ",9,140,2025,3,14
DNG,1786386,Danaciti Hotel,4,  661.500 ,  175.000 ,"  2,50 ","9,2",36,2025,3,14
DNG,11308334,Hadana Boutique Hotel Danang,4,  668.250 ,  225.000 ,"  1,80 ",9,637,2025,3,14
DNG,5801228,La Maison Des Délices,4,  714.286 ,  178.571 ,"  2,10 ","9,1",365,2025,3,14
DNG,12289097,SOJO Hotel Da Nang,4,  938.700 ,  149.000 ,"  0,40 ","9,3",7,2025,3,14
DNG,10088893,The Home Hotel & Apartment,4,  1.040.445 ,  1.932.255 ,"  2,10 ","9,4",33,2025,3,14
DNG,1736439,BlueSun Danang Beach Hotel,4,  1.162.800 ,  380.000 ,"  2,80 ","9,1",696,2025,3,14
DNG,8256592,The Dream Suite,4,  1.275.750 ,  405.000 ,"  2,70 ","9,4",658,2025,3,14
DNG,1341439,Vanda Hotel,4,  1.469.700 ,  355.000 ,"  0,90 ","9,1",880,2025,3,14
DNG,2738814,New Orient Hotel Da Nang,4,  1.472.500 ,  1.472.500 ,"  1,60 ","9,2",262,2025,3,14
